,anomaly,confirmed,failure,input,measurement_id,measurement_start_time,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
0,False,False,False,,temp-fid-00d4e674f1b0b042bbeb57a9d9bb41a3,2020-08-27T14:17:52Z,https://api.ooni.io/api/v1/measurement/temp-fid-00d4e674f1b0b042bbeb57a9d9bb41a3,AS133752,CN,20200827T141752Z_AS133752_iISErpxIqeg0yg2pyIFYsduRu3Xe0wvXoxqXk599qlNi7m4EB2,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
1,False,False,False,,temp-fid-00a3ea428d600d1a1274986d46b5db7e,2020-08-27T14:17:12Z,https://api.ooni.io/api/v1/measurement/temp-fid-00a3ea428d600d1a1274986d46b5db7e,AS133752,CN,20200827T141711Z_AS133752_PqQ1VMb3fEg3JFBXh60SF9g5sLhAWAyIQZAbfhpdq2HFJGMYTU,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_header_field_manipulation
2,False,False,False,,temp-fid-00dbb22cd2bf9038f7e9dfdebf8df147,2020-08-27T14:15:40Z,https://api.ooni.io/api/v1/measurement/temp-fid-00dbb22cd2bf9038f7e9dfdebf8df147,AS133752,CN,20200827T141538Z_AS133752_F4oKW7ITRvmTQOUvplIrPg5NyKqxuOovWJpNSQIE0jP5pKCHAm,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",dash
3,False,False,False,,temp-fid-00dedd8635203bfeab560a439d61fa60,2020-08-27T14:14:39Z,https://api.ooni.io/api/v1/measurement/temp-fid-00dedd8635203bfeab560a439d61fa60,AS133752,CN,20200827T141436Z_AS133752_U20KPNF2ZCJFRexW3y5WdD6Dmsdumou1iMbdl2Bhze4kVo0H7n,{},ndt
4,True,False,False,https://www.dailysabah.com/,temp-fid-006e99242f5087a81d68938655ea1054,2020-08-27T12:43:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-006e99242f5087a81d68938655ea1054,AS4134,CN,20200827T124324Z_AS4134_nl3AWRBrqAxB1CvXtSTAxujMUcmtCJ0cCEjYOe9H8BYYlrxa2o,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
5,False,False,False,https://en.wikipedia.org/,temp-fid-00844ce7da908705a37e20f9d2a9c652,2020-08-27T12:43:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00844ce7da908705a37e20f9d2a9c652,AS4134,CN,20200827T124324Z_AS4134_nl3AWRBrqAxB1CvXtSTAxujMUcmtCJ0cCEjYOe9H8BYYlrxa2o,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
6,False,False,False,https://bitterwinter.org/,temp-fid-00609f9456e3944dc8773c6a2dfb49c7,2020-08-27T12:43:23Z,https://api.ooni.io/api/v1/measurement/temp-fid-00609f9456e3944dc8773c6a2dfb49c7,AS4134,CN,20200827T124324Z_AS4134_nl3AWRBrqAxB1CvXtSTAxujMUcmtCJ0cCEjYOe9H8BYYlrxa2o,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
7,True,False,False,,temp-fid-00fa861331f399c072a080e1cdcb6058,2020-08-27T04:33:32Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fa861331f399c072a080e1cdcb6058,AS9808,CN,20200827T043055Z_AS9808_lvBbOvhNlqAwPUZFz86ESExrSUxQRvO42lhs26ARJNiB8S6lM7,"{'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",whatsapp
8,False,False,False,,temp-fid-00650c50396ca2f4eaf1a810b328c7e2,2020-08-27T04:21:17Z,https://api.ooni.io/api/v1/measurement/temp-fid-00650c50396ca2f4eaf1a810b328c7e2,AS4134,CN,20200827T042118Z_AS4134_5xsLQUNOw9Gxe0E1EwEa3y2eeq9dLO7jHRusHcIx7DjknEh3BI,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
9,False,False,False,,temp-fid-007cfe3f2cbbc9f9ca0acb1016352f33,2020-08-27T04:20:50Z,https://api.ooni.io/api/v1/measurement/temp-fid-007cfe3f2cbbc9f9ca0acb1016352f33,AS4134,CN,20200827T042050Z_AS4134_Vamm16kd9NqCmRRk7tJ1UayvXPj967RzCroc4pbLGDSXz31VLM,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_header_field_manipulation
10,False,False,False,,temp-fid-00e0206bfa7855fd4acb7cd6794390f4,2020-08-27T02:37:54Z,https://api.ooni.io/api/v1/measurement/temp-fid-00e0206bfa7855fd4acb7cd6794390f4,AS0,CN,20200827T023753Z_AS0_rhB88HVk2wBUTHZUty4rltlz6uPsPD8HuEMMwFn0KnPIpaD2vI,{},ndt
11,False,False,False,,temp-fid-00fc4d8d113705f14b67cea7ad8949e7,2020-08-27T01:29:29Z,https://api.ooni.io/api/v1/measurement/temp-fid-00fc4d8d113705f14b67cea7ad8949e7,AS0,CN,20200827T012929Z_AS0_Yt6bCN3Ct2dmB3fJeV8QuvvU2amdHfCpLvJFncT7Lxc46J4oWC,{},ndt
12,False,False,False,,temp-fid-00e9b4463903afb651225cb8f84004c1,2020-08-27T00:02:34Z,https://api.ooni.io/api/v1/measurement/temp-fid-00e9b4463903afb651225cb8f84004c1,AS24445,CN,20200827T000234Z_AS24445_OoyJ2kpi4MegtcHZenjsUnqgwSz3BNVnE0K4jgL2LHkEJasw23,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_invalid_request_line
13,False,False,False,,temp-fid-00b5fb05ca0792cf9ac476838c9eaffb,2020-08-27T00:02:14Z,https://api.ooni.io/api/v1/measurement/temp-fid-00b5fb05ca0792cf9ac476838c9eaffb,AS24445,CN,20200827T000213Z_AS24445_bBerjjnDndBkf2KWYxX3AkNiVxyrExW87C3ob8IfJukMqB8CkI,"{'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",http_header_field_manipulation
14,False,False,True,,temp-fid-0003025416c909ff4f679974a4535380,2020-08-27T00:01:49Z,https://api.ooni.io/api/v1/measurement/temp-fid-0003025416c909ff4f679974a4535380,AS24445,CN,20200827T000148Z_AS24445_rccBw5XpgISO8fPhYIB3bQjzh4YJZKMXoDtYI2LhZ9cdQLXzSm,"{'accuracy': 0.0, 'blocking_country': 0.0, 'blocking_general': 0.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'msg': 'Probe error'}",dash
15,False,False,False,,temp-fid-0094b648faf444f078ad5f32a25d9cdf,2020-08-27T00:00:58Z,https://api.ooni.io/api/v1/measurement/temp-fid-0094b648faf444f078ad5f32a25d9cdf,AS24445,CN,20200827T000057Z_AS24445_WprXI3HF4kGjkgLaMEzWbmYgw7sASrMr5vf3Qi3ZfLhSlIrxxQ,{},ndt
